id,Name,Artist,Album,Genre,Comments,Location,Grouping
88f5958c-febc-4b83-974b-37bbf77ac5c4,Truth Inside,Prime Minister of Doom,Mudshadow Propaganda,Techno,"House, Groover, Mover ",file:///Users/renier.botha/Music/DJ/Files/2022/Techno/08%20Truth%20Inside.mp3,
7c396621-f361-4a3a-838b-34ac8b8a1aea,First Light,Negative Return,fabric 91: Nina Kraviz,Techno,Hard,file:///Users/renier.botha/Music/DJ/Files/2022/Techno/1-38%20First%20Light.mp3,
bd7c7608-48e2-49ae-8c95-1681ec8cc421,Angst,Ghost Culture & Kiwi,Ghost Culture & Kiwi,Techno,"House, Skip, Mover",file:///Users/renier.botha/Music/DJ/Files/2022/Techno/03%20Angst.mp3,
0b35a38d-39be-463a-af27-5d4f3ddd536d,Drumatise,Prime Minister of Doom,Mudshadow Propaganda,Techno,"Tribal, Space, Mover, Rhythmic, Drum sample",file:///Users/renier.botha/Music/DJ/Files/2022/Techno/05%20Drumatise.mp3,
a33d7155-57b7-41dc-ab11-b7f523d75e28,Ambroxitil,Shedbug,DJ-Kicks,Techno,"Space, Groover, Mover,",file:///Users/renier.botha/Music/DJ/Files/2022/Techno/18%20Ambroxitil.mp3,
7f95f709-5126-4846-b4c3-9fc834ec0a97,Take Me (remake),D.O.P.,Musicians Of The Mind,Rave,"House, Soul, Piano, Dancefloor, Rave",file:///Users/renier.botha/Music/DJ/Files/2022/Rave/03%20Take%20Me%20(remake).mp3,
7dbd0faa-91b3-44d8-83cd-9ad42e35ca10,Planet,Four Tet,New Energy,Rave,"Ambient, Downtempo, House, Techno, Intro, Mover",file:///Users/renier.botha/Music/DJ/Files/2022/Rave/14%20Planet.mp3,Text Records
413e405f-5201-4434-880a-a030b002028d,Groove Me (Original),DJs Friction And Spice,COSMIC 001,Rave,"Progressive, Anthem, Melodic, House, Groover, Dance",file:///Users/renier.botha/Music/DJ/Files/2022/Rave/Groove%20Me%20(Original).mp3,
82519bd8-91ef-4bc7-ab98-29ad8f434aa5,Tell Me Why (M&M Mix),Rachel Wallace,Rave Alert,Rave,"Dance, Anthem, Piano, Banger, Breakbeat",file:///Users/renier.botha/Music/DJ/Files/2022/Rave/12%20Tell%20Me%20Why%20(M&M%20Mix).mp3,
f412679a-aa7f-4725-a1b9-8782ea00ba44,Groovy Beat (part 1),D.O.P.,Musicians Of The Mind,Rave,"Classic, Dance, House, Anthem, Breakbeat, Groover",file:///Users/renier.botha/Music/DJ/Files/2022/Rave/04%20Groovy%20Beat%20(part%201).mp3,
10981e04-ff69-4b45-b087-f776b28f294e,The Ric,D.O.P.,Musicians Of The Mind,Rave,"Rythmic, Progressive, Piano, Intro, Groover, Tribal",file:///Users/renier.botha/Music/DJ/Files/2022/Rave/11%20The%20Ric.mp3,
3d2d5917-635d-4d30-91f3-d7fa6372c008,Passion [The Naked Mix],Gat Decor,Passion EP,Rave,"Progressive, House, Classic, Anthem, Banger",file:///Users/renier.botha/Music/DJ/Files/2022/Rave/01%20Passion%20%5BThe%20Naked%20Mix%5D.mp3,
6599a98a-7ba4-41d8-acf3-8ce0dd781c37,Negra Flor,Sandra De Sa,,Funk,Brazil,file:///Users/renier.botha/Music/DJ/Files/2022/Funk/Negra%20Flor.mp3,
6d4dd858-8e59-4be5-b846-7540b0c0d470,Everybody Get Down,Mouzon's Electric Band,Baby Come Back,Funk,"Disco, Dancefloor, Banger, Baseline",file:///Users/renier.botha/Music/DJ/Files/2022/Funk/02%20Everybody%20Get%20Down.mp3,
8acff08c-39fd-42de-8a45-e9f1e0bb011a,I Need You Tonight,Punkin Machine,,Funk,"Disco, Groover",file:///Users/renier.botha/Music/DJ/Files/2022/Funk/I%20Need%20You%20Tonight.mp3,
fff8b17f-9607-404b-a9ae-f9b795eacc66,I Am The Black Gold Of The Sun (4 Hero Mix),Nuyorican Soul Feat. Jocelyn Brown,Body & Soul NYC Vol. 2 (Unmixed),Funk,"Jazz, Groover, Mover",file:///Users/renier.botha/Music/DJ/Files/2022/Funk/07%20I%20Am%20The%20Black%20Gold%20Of%20The%20Sun%20(4%20Hero%20Mix).mp3,
a3100056-1c7b-4fb1-bd25-65ff7849db56,Kalatashew Waga (Andras Fox Remix),Admas,,Eletronic,"Melodic, Intro, Space, Mover",file:///Users/renier.botha/Music/DJ/Files/2022/Eletronic/Kalatashew%20Waga%20(Andras%20Fox%20Remix).mp3,
b4dcba2e-eac9-4fd1-a2b9-65c80d497ed2,Cha cha cha (CH 31),Mo' Horizons,The Latin Mix 6,Jazz,"Latin, Disco, Groover, Rhythmic",file:///Users/renier.botha/Music/DJ/Files/2022/Jazz/1-22%20Cha%20cha%20cha%20(CH%2031).mp3,
b2a35e66-0ab2-42e6-81e8-875eb18d9a6c,Everybody,Shades Of Rhythm,The Album [DE CD Album] [9031 76276 2],Garage,"Rhythmic, House, Mover",file:///Users/renier.botha/Music/DJ/Files/2022/Garage/1-104%20Everybody.mp3,
50a4eeec-a544-4a97-a826-7e06c2cc916d,Joy (Choice Mix Kerri Chandler),Janet Rushmore,,Garage,"Soul, House, Banger",file:///Users/renier.botha/Music/DJ/Files/2022/Garage/Joy%20(Choice%20Mix%20Kerri%20Chandler)%201.mp3,
6b95cb80-4afa-4e26-b3cc-f6e36d675550,Freq Accident,Reptant,DJ-Kicks,Techno,"Mover, Space",file:///Users/renier.botha/Music/DJ/Files/2022/Techno/16%20Freq%20Accident.mp3,
fd9e723d-ffdc-4251-b356-95c82da2c740,Father (Frankie Feliciano Remi,Kenny Bobien,Body & Soul NYC Vol. 4,Garage,"Lounge, Progressive, Funk, Groover, House, Soul",file:///Users/renier.botha/Music/DJ/Files/2022/Garage/04%20Father%20(Frankie%20Feliciano%20Remi.mp3,
47a9992d-0421-4b35-9b9a-92391ed73d8a,I Surrender (Curtis & Moore 'Surrender To The Groove' Mix),Rosie Gaines,I Surrender - The Mixes,Garage,"Soul, Rhythmic, Dance, Skip, House",file:///Users/renier.botha/Music/DJ/Files/2022/Garage/I%20Surrender%20(Curtis%20&%20Moore%20'Surrender%20To%20The%20Groove'%20Mix).mp3,
0cace3ed-cc29-461a-9be0-26d0c11937af,Hyperactive,Coeo,,Garage,"Funk, Soul, Lo-fi, Garage, Summer, Piano, Breakbeat",file:///Users/renier.botha/Music/DJ/Files/2022/Garage/Hyperactive.mp3,
33bf64ae-f3c5-4174-8589-ade19a3749a0,Flying Saucer (Kings Of Tomorrow Mix),United Future Organization,Body & Soul NYC Vol. 4,Garage,"Funk, Garage, Groover, Scat, Summer,",file:///Users/renier.botha/Music/DJ/Files/2022/Garage/06%20Flying%20Saucer%20(Kings%20Of%20Tomorrow%20Mix).mp3,
